date,regime,portfolio_value,cash,open_positions
2019-04-02,Recovery,99900379.24107145,62771249.24107145,16
2019-04-03,Narrow Bull,100346056.24107145,62771249.24107145,16
2019-04-04,Narrow Bull,100543810.24107145,62771249.24107145,16
2019-04-05,Narrow Bull,100603745.24107145,62771249.24107145,16
2019-04-08,Broad Bull,100544245.24107145,62771249.24107145,16
2019-04-09,Narrow Bull,100706069.24107145,62771249.24107145,16
2019-04-10,Broad Bull,100870256.24107145,62771249.24107145,16
2019-04-11,Broad Bull,101116951.24107145,62771249.24107145,16
2019-04-12,Broad Bull,101447933.24107145,62771249.24107145,16
2019-04-15,Broad Bull,101698399.24107145,62771249.24107145,16
2019-04-16,Broad Bull,101333978.24107145,62771249.24107145,16
2019-04-17,Broad Bull,101649185.61834417,64121454.61834417,15
2019-04-18,Narrow Bull,100938305.61834417,64121454.61834417,15
2019-04-19,Narrow Bull,101273058.61834417,64121454.61834417,15
2019-04-22,Narrow Bull,101278333.61834417,64121454.61834417,15
2019-04-23,Narrow Bull,101172498.61834417,64121454.61834417,15
2019-04-24,Recovery,100878078.61834417,62093864.61834417,16
2019-04-25,Recovery,101149888.61834417,62093864.61834417,16
2019-04-26,Bear,100729612.55493508,62920806.55493508,15
2019-04-29,Recovery,101123284.69779223,60717288.697792225,16
2019-04-30,Recovery,101160263.69779223,60717288.697792225,16
2019-05-02,Narrow Bull,101200075.69779223,62329437.697792225,15
2019-05-03,Recovery,101088151.4912987,59869983.49129871,16
2019-05-07,Bear,100561422.41652599,68949128.41652599,13
2019-05-08,Bear,100416977.41652599,68949128.41652599,13
2019-05-09,Bear,99832672.41652599,68949128.41652599,13
2019-05-10,Bear,99695542.37107144,71297199.37107144,12
2019-05-13,Bear,99454604.37107144,71297199.37107144,12
2019-05-14,Bear,99782823.44107144,73295496.44107144,11
2019-05-15,Bear,99907332.44107144,73295496.44107144,11
2019-05-16,Bear,99791757.44107144,73295496.44107144,11
2019-05-17,Bear,99778283.41834417,75252675.41834417,10
2019-05-20,Bear,99493193.07688963,79651009.07688963,8
2019-05-21,Bear,99481027.77575327,84167322.77575327,7
2019-05-22,Bear,99471648.77575327,84167322.77575327,7
2019-05-23,Bear,99491847.77575327,84167322.77575327,7
2019-05-24,Bear,99388116.77575327,84167322.77575327,7
2019-05-27,Bear,99312852.77575327,84167322.77575327,7
2019-05-28,Bear,99389346.77575327,84167322.77575327,7
2019-05-29,Bear,98983948.77575327,84167322.77575327,7
2019-05-30,Bear,98946945.63248055,87092175.63248055,6
2019-05-31,Bear,98996895.63248055,87092175.63248055,6
2019-06-03,Bear,99001395.63248055,87092175.63248055,6
2019-06-04,Bear,99027985.63248055,87092175.63248055,6
2019-06-05,Bear,99049465.63248055,87092175.63248055,6
2019-06-07,Bear,99104445.63248055,87092175.63248055,6
2019-06-10,Broad Bull,99162871.93962342,75241834.93962342,8
2019-06-11,Broad Bull,99294933.93962342,75241834.93962342,8
2019-06-12,Broad Bull,99149361.93962342,75241834.93962342,8
2019-06-13,Broad Bull,99678588.93962342,75241834.93962342,8
2019-06-14,Broad Bull,99312797.93962342,75241834.93962342,8
2019-06-17,Broad Bull,100108777.93962342,75241834.93962342,8
2019-06-18,Broad Bull,99962706.93962342,75241834.93962342,8
2019-06-19,Broad Bull,100023423.71689615,77429719.71689615,7
2019-06-20,Broad Bull,100164635.42020783,62582917.420207836,7
2019-06-21,Broad Bull,99831483.42020783,62582917.420207836,7
2019-06-24,Narrow Bull,100292693.42020783,62582917.420207836,7
2019-06-25,Narrow Bull,100041009.42020783,62582917.420207836,7
2019-06-26,Narrow Bull,99990103.42020783,62582917.420207836,7
2019-06-27,Recovery,99667635.42020783,62582917.420207836,7
